iter	Passed	Remaining
0	1	148
1	3	151
2	4	137
3	5	123
4	6	119
5	7	115
6	8	113
7	9	111
8	11	111
9	12	110
10	13	112
11	15	112
12	16	112
13	17	109
14	18	106
15	19	103
16	20	101
17	21	98
18	22	96
19	23	94
20	24	93
21	25	91
22	26	89
23	27	88
24	29	87
25	30	85
26	31	84
27	32	82
28	33	81
29	34	79
30	35	78
31	36	76
32	37	75
33	38	74
34	39	73
35	40	72
36	41	70
37	43	70
38	44	69
39	45	68
40	46	66
41	46	64
42	48	63
43	49	62
44	50	61
45	51	60
46	52	58
47	53	57
48	54	56
49	55	55
50	57	55
51	59	54
52	60	53
53	61	52
54	61	50
55	62	49
56	63	48
57	64	47
58	66	45
59	67	44
60	68	43
61	69	42
62	70	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	36
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	29
74	84	28
75	85	27
76	86	25
77	87	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	18
84	95	16
85	96	15
86	97	14
87	99	13
88	100	12
89	101	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
